metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Кузьминки,8000,15000,35000,52,170,26,3,1
Пролетарская,6000,12000,40000,n/a,175,25,3,1
Автозаводская,5000,10000,25000,55,170,25,2,1
Белорусская,7000,15000,35000,53,165,27,2,0
Октябрьское поле,3000,6000,-,55,171,19,2,0
Молодежная,8000,15000,-,55,180,31,2,1
Пушкинская,6000,12000,30000,48,159,22,2,1
Коломенская,2000,4000,10000,42,150,20,2,0
Московский,4000,9000,20000,49,160,28,1,0
Новокосино,4000,8000,16000,60,170,26,3,0
Новые Черемушки,4000,8000,20000,50,160,27,1,0
Улица 1905 го1,10000,20000,50000,55,170,31,4,4000
Белорусская,6000,12000,-,58,170,30,5,3000
Кутузовская,10000,20000,50000,50,168,23,2,0
Белорусская,2500,5000,12500,50,160,35,2,0
Юго-Западная,2500,5000,14000,60,170,29,3,0
Проспект Мира,4000,8000,16000,55,170,35,3,0
Рижская,5000,10000,30000,75,172,39,4,3000
Ленинский проспект,8000,16000,40000,48,164,22,3,0
Бульвар Дмитрия Донского,3000,6000,15000,70,175,38,3,1
Калужская,2000,4000,12000,50,165,32,1,0
Молодежная,6000,12000,-,47,160,22,1,1
Молодежная,2000,4000,12000,55,169,37,2,0
Новогиреево,4000,8000,30000,60,170,27,3,0
Рижская,7000,13000,35000,55,165,23,2,1
Киевская,10000,15000,40000,47,170,24,3,0
Беляево,2000,4000,10000,60,178,41,3,1
Улица 1905 го1,6000,12000,40000,64,175,34,3,3000
Жулебино,2000,4000,12000,58,168,40,2,2000
Кутузовская,15000,30000,-,56,176,33,5,1
Профсоюзная,5000,10000,25000,49,167,19,3,0
Университет,2300,4600,-,55,172,34,2,0
Сокольники,5000,8000,16000,55,175,20,3,3000
Полежаевская,10000,20000,-,58,172,26,3,0
Каховская,6000,12000,25000,52,172,20,2,1
Белорусская,4000,8000,20000,62,173,23,3,0
Тверская,10000,20000,60000,70,165,30,3,1
Юго-Западная,3000,5000,12000,55,170,30,3,1
Люберцы,3500,4500,7500,56,156,21,3,0
Шаболовская,8000,16000,40000,50,170,19,1,1
Молодежная,8000,15000,-,55,180,31,2,1
Рязанский проспект,2500,5000,15000,47,167,43,2,0
Улица 1905 го1,8000,16000,-,48,170,22,2,0
Щукинская,1500,3000,9000,60,155,30,2,0
Улица 1905 го1,18000,25000,60000,56,175,24,3,1
Каховская,3000,5000,12000,54,167,22,2,1
Ленинский проспект,10000,20000,55000,51,170,19,2,1
Молодежная,6000,12000,-,47,160,22,1,1
Белорусская,10000,20000,60000,48,168,26,3,1
Академическая,6000,12000,25000,52,171,19,2,0
Рижская,2000,4000,10000,102,170,49,8,1000
Коломенская,1500,3000,9000,60,155,23,2,1
Бунинская Аллея,2500,5000,12500,67,167,29,3,1
Академическая,5000,10000,25000,47,170,22,1,0
Багратионовская,5000,10000,30000,55,162,22,4,1
Кутузовская,7000,14000,-,47,155,20,2,0
Ленинский проспект,5000,10000,-,45,170,27,2,0
Профсоюзная,6000,12000,35000,60,170,42,2,2000
Таганская,4000,8000,20000,46,164,24,1,1
Дубровка,4000,8000,20000,59,174,30,3,0
Кутузовская,10000,20000,50000,55,165,19,5,1
Бульвар Дмитрия Донского,3000,6000,12000,66,176,37,3,2000
Павелецкая,5000,15000,-,60,170,23,2,5000
Смоленская,10000,18000,60000,57,165,27,3,0
Римская,4000,7000,18000,53,170,28,3,1
Полежаевская,2500,5000,13000,70,165,47,4,1
Зябликово,7000,14000,-,57,165,40,3,2000
Проспект Мира,6000,10000,25000,59,177,36,2,1
Профсоюзная,3500,-,-,72,180,33,3,0
Смоленская,6000,-,30000,57,177,28,3,0
Нахимовский проспект,8000,15000,-,58,172,24,2,0
Парк культуры,10000,-,-,57,175,30,2,1
Кутузовская,5000,10000,-,65,175,28,3,0
Кутузовская,10000,20000,50000,55,172,27,4,0
Автозаводская,4000,8000,20000,62,170,20,2,0
Войковская,8000,15000,50000,55,165,20,2,0
Ленинский проспект,4000,8000,20000,60,175,30,2,2000
Бабушкинская,2500,5000,12500,58,173,28,2,1000
Молодежная,2500,5000,25000,68,180,47,5,1
Киевская,6000,12000,30000,65,156,35,4,3000
Коломенская,2000,4000,10000,65,175,39,6,1
Октябрьское поле,3000,5000,15000,45,147,36,3,0
Аэропорт,6000,12000,30000,40,152,20,1,0
Перово,5500,7500,17500,53,160,20,1,1
Славянский бульвар,15000,25000,80000,58,178,30,3,1
Академическая,5000,-,-,50,157,20,2,0
Кузьминки,5000,8000,30000,52,172,31,2,0
Бауманская,6000,12000,25000,58,170,19,3,0
Тульская,3500,7000,14000,62,171,23,2,3000
Ленинский проспект,5000,10000,30000,48,152,50,1,3000
Ленинский проспект,10000,20000,55000,45,165,19,3,0
Беговая,6000,12000,30000,45,152,18,2,0
Ясенево,1500,3000,9000,n/a,160,19,6,1
Ленинский проспект,10000,20000,55000,45,165,19,3,0
Динамо,7000,14000,35000,50,175,34,3,1
Ленинский проспект,12000,24000,50000,55,175,18,4,0
Академическая,6000,12000,25000,45,160,19,2,0
Университет,2300,4600,-,60,168,37,2,0
Жулебино,5000,10000,30000,52,160,23,2,5000
Академическая,6000,12000,-,65,170,36,4,0
Бабушкинская,5000,-,-,52,164,20,3,0
Бабушкинская,3500,7000,-,60,163,32,4,0
Жулебино,6000,12000,30000,59,175,34,3,1
Кутузовская,10000,20000,60000,49,172,18,2,0
Медведково,2500,5000,-,61,170,32,3,1
Аэропорт,5000,10000,-,60,170,38,2,1
Октябрьское поле,5000,10000,20000,63,170,21,2,0
Славянский бульвар,15000,25000,-,52,165,38,4,1
Красногвардейская,2000,4000,12000,45,170,21,3,0
Сходненская,3000,6000,16000,55,155,24,2,0
Алексеевская,3000,6000,15000,53,164,38,3,1
Савеловская,3000,6000,15000,54,180,29,3,1
Домодедовская,5000,10000,-,50,175,28,1,0
Китай-город,5000,8000,18000,42,165,20,1,0
Тульская,3500,7000,14000,62,171,23,2,3000
Сходненская,3000,6000,16000,59,167,35,5,0
Кутузовская,10000,-,-,n/a,179,22,3,1
Беговая,2000,4000,10000,70,168,26,3,1
ВДНХ,2000,-,-,65,168,35,6,0
Алексеевская,15000,25000,60000,50,175,33,2,1
Кутузовская,6000,12000,-,64,175,34,3,3000
Динамо,8000,15000,45000,50,164,32,2,5000
Белорусская,6000,12000,35000,50,165,25,2,1
Савеловская,6000,10000,25000,45,160,22,1,1
Ленинский проспект,5000,10000,30000,50,171,26,1,1
Парк Победы,4000,7000,15000,46,160,22,1,3000
Кутузовская,12000,24000,-,n/a,174,30,7,6000
Варшавская,2000,4000,10000,50,170,35,2,0
Алтуфьево,7000,14000,40000,65,173,27,3,0
Мытищи,2500,5000,12000,52,157,42,2,0
Митино,3000,4000,7500,55,170,20,3,1
Беговая,7000,14000,35000,52,168,25,2,0
Нахимовский проспект,6000,12000,25000,52,172,20,2,1
Серпуховская,5000,15000,50000,50,165,24,3,5000
Таганская,12000,22000,80000,52,172,30,4,0
Университет,2300,4600,-,65,170,27,3,0
Ленинский проспект,10000,20000,-,52,168,24,4,1
Жулебино,3000,6000,25000,42,150,30,2,0
Дубровка,5000,10000,25000,62,170,20,2,0
Новогиреево,4500,9000,21000,50,163,34,1,0
Ясенево,1500,3000,9000,50,170,18,1,1
Маяковская,8000,16000,50000,53,179,23,2,5000
Ленинский проспект,8000,16000,50000,59,170,25,4,0
Пражская,2500,5000,10000,70,168,40,3,1000
Митино,2500,5000,14000,60,170,36,4,2000
Шаболовская,7000,14000,35000,47,170,20,3,1
Красносельская,-,15000,40000,52,173,21,2,5000
Полежаевская,3000,6000,16000,48,160,38,2,1
Ломоносовский проспект,6000,12000,30000,48,165,19,3,0
Дубровка,1500,3000,9000,n/a,160,23,4,0
Аэропорт,6000,10000,30000,65,175,26,6,1
Химки,5000,10000,25000,53,165,24,2,3000
Римская,3000,5000,-,63,167,42,3,1000
Медведково,-,8000,15000,50,160,22,2,1
Таганская,30000,45000,120000,51,170,38,4,1
Жулебино,5000,10000,30000,50,170,19,2,0
Орехово,3000,6000,18000,45,160,40,2,0
Академическая,6000,12000,-,45,167,21,1,0
Бабушкинская,2500,5000,12500,58,173,28,2,1000
Студенческая,4000,8000,20000,60,168,23,2,0
Пролетарская,3000,6000,-,45,158,44,2,2000
Выставочная,4500,8000,21000,59,176,33,2,5000
Митино,3000,4000,7500,50,175,24,3,1
Жулебино,5000,10000,30000,45,155,24,2,0
Пролетарская,2000,4000,10000,60,167,48,3,1
Лермонтовский проспект,6000,10000,25000,53,170,26,2,1
Щелковская,5000,10000,25000,51,168,24,2,0
Арбатская,5000,10000,25000,70,175,40,6,3000
Выхино,5000,10000,30000,65,167,21,3,0
Юго-Западная,3000,4500,8000,50,170,19,3,1
Академическая,7000,14000,35000,50,170,19,3,1
Кутузовская,13000,26000,-,45,169,22,3,0
Павелецкая,5000,10000,-,68,160,47,3,1
Киевская,10000,20000,50000,50,175,22,4,1
Таганская,10000,20000,60000,46,165,25,1,0
Кутузовская,5000,10000,-,65,175,28,3,0
Юго-Западная,5000,10000,30000,60,167,32,4,1
Проспект Мира,4000,8000,16000,55,170,31,3,5000
Новые Черемушки,5000,10000,25000,49,168,20,2,0
Выставочная,5000,10000,50000,54,172,26,4,0
Чертановская,3000,6000,15000,57,175,27,1,2000
Академическая,6000,12000,25000,51,171,19,2,0
Электросталь,3000,6000,-,55,166,26,2,0
Люблино,2000,4000,10000,53,176,25,3,0
Октябрьское поле,5000,10000,-,50,171,19,2,0
Проспект Мира,4000,8000,16000,53,167,28,3,0
Митино,5000,10000,25000,50,165,22,2,0
Беговая,2500,5000,13000,69,175,25,3,0
Фрунзенская,20000,40000,100000,55,167,37,4,5000
Тимирязевская,5000,8000,15000,55,165,21,2,0
Кутузовская,8000,16000,-,48,170,22,2,0
Академическая,5000,10000,25000,51,171,26,2,1
Кожуховская,6000,12000,30000,46,165,20,1,4000
Беговая,20000,35000,-,66,170,24,4,0
Павелецкая,7000,15000,100000,49,172,24,3,5000
Смоленская,5000,10000,30000,48,165,22,2,0
Бульвар Дмитрия Донского,4000,8000,25000,72,178,37,3,2000
Комсомольская,20000,35000,-,54,170,25,2,1
Одинцово,5000,10000,-,55,170,35,2,1
Новокузнецкая,5000,8000,35000,45,155,23,1,0
Аэропорт,6000,12000,35000,62,165,32,5,1
Медведково,4000,8000,-,52,171,35,1,1
Белорусская,5000,10000,25000,55,172,34,2,1
Таганская,10000,20000,60000,55,170,25,1,0
Сходненская,3500,4500,8000,55,175,19,4,1
Беляево,4000,8000,20000,63,170,22,3,0
Профсоюзная,6000,12000,25000,47,169,23,1,0
Белорусская,4000,7000,20000,64,170,30,3,3000
Студенческая,5000,10000,25000,52,167,27,1,0
Бауманская,8000,15000,50000,49,170,29,2,3000
Таганская,4000,8000,25000,60,165,33,5,1
Калужская,10000,20000,60000,72,165,30,3,1
Белорусская,12000,25000,60000,50,170,23,2,1
ВДНХ,3500,7000,-,58,165,32,4,0
Университет,3500,-,-,63,169,24,3,0
Киевская,10000,20000,50000,54,172,26,4,1
Братиславская,5000,-,-,60,176,29,4,1
Белорусская,10000,20000,60000,48,168,26,3,5000
Жулебино,5000,10000,30000,52,160,23,2,5000
Таганская,10000,20000,-,49,160,33,4,1
Беляево,2500,5000,15000,52,172,22,2,0
Динамо,2000,4000,12000,55,170,26,2,1
Алексеевская,1500,3000,6000,n/a,165,56,8,1000
Академическая,5000,10000,20000,48,160,21,1,0
Каховская,3500,7000,17500,69,170,21,3,0
Саларьево,-,14000,35000,55,167,21,2,0
Люберцы,1500,3000,9000,65,168,30,3,0
Ленинский проспект,8000,16000,40000,48,164,22,3,0
Савеловская,7000,14000,35000,50,175,34,3,1
ВДНХ,8000,16000,40000,50,167,22,2,0
Сухаревская,7000,14000,30000,56,170,42,2,0
Новокосино,3000,5000,13000,48,166,21,2,0
Славянский бульвар,6000,12000,30000,70,178,34,3,1
Теплый стан,3000,4500,7000,54,171,20,3,1
Марксистская,10000,20000,-,49,161,33,4,1
Таганская,10000,20000,60000,55,170,25,1,0
Новые Черемушки,5000,10000,-,43,165,36,2,5000
Коломенская,10000,20000,70000,n/a,175,39,5,0
Беговая,7000,12000,34000,55,172,23,2,5000
Царицыно,5000,8000,20000,43,162,35,2,0
Кутузовская,6000,12000,-,48,167,22,1,1
Ломоносовский проспект,4000,8000,25000,55,158,45,4,1
Академическая,6000,12000,25000,45,160,19,2,0
Зорге,3000,6000,18000,55,170,25,2,0
Киевская,10000,20000,80000,56,170,25,4,5000
Молодежная,8000,15000,-,55,180,31,2,1
Таганская,10000,20000,-,49,160,33,4,1
Таганская,2000,4000,10000,60,167,48,3,1
Люберцы,1500,3000,9000,75,174,35,5,1
Ленинский проспект,10000,20000,45000,55,173,19,2,0
Академическая,7000,14000,35000,47,170,20,3,1
Октябрьское поле,3000,6000,18000,46,159,24,2,2000
Подольск,3000,6000,15000,56,165,32,3,1
Октябрьское поле,3000,5000,15000,45,147,36,3,0
Петровско-Разумовская,5000,8000,15000,55,165,20,4,0
Улица 1905 го1,8000,16000,-,48,170,22,2,0
Беляево,5000,10000,18000,49,165,28,4,1
Павелецкая,7000,15000,50000,60,172,23,2,5000
Щукинская,1500,3000,9000,69,168,21,3,0
Савеловская,6000,10000,25000,45,160,22,1,0
Марьино,5000,10000,25000,57,175,34,3,1
Подольск,2500,5000,12000,59,160,32,3,0
Ленинский проспект,5000,10000,-,61,172,28,4,1
Таганская,1500,3000,9000,51,168,38,4,1
Петровско-Разумовская,2500,5000,10000,48,160,31,2,0
Домодедовская,3000,6000,18000,n/a,171,47,2,0
Беляево,6000,-,-,45,168,26,3,1
Академическая,5000,10000,30000,50,157,20,2,0
Кутузовская,15000,30000,80000,46,174,21,1,0
Королёв,2500,5000,14000,58,167,36,4,2000
Мытищи,2500,5000,12000,49,161,39,1,1
Студенческая,10000,20000,50000,55,165,18,5,1
Бабушкинская,2500,5000,-,65,169,32,3,1
Улица Скобелевская,5000,10000,25000,60,172,24,3,1
Кутузовская,7000,14000,28000,50,168,23,2,0
Белорусская,10000,20000,50000,55,170,31,4,4000
Севастопольская,6000,12000,25000,60,170,35,2,1
Арбатская,3000,5000,12000,56,168,25,2,1000
Охотный ряд,-,8000,20000,54,165,19,2,0
Пролетарская,5000,10000,18000,74,168,44,3,3000
Балашиха,5000,10000,25000,54,168,20,4,1
Октябрьское поле,3000,6000,12000,50,150,28,3,0
Беляево,2000,4000,12000,55,169,36,4,0
Люблино,2000,4000,10000,70,170,30,2,0
Теплый стан,7000,12000,25000,48,172,19,3,1
Ломоносовский проспект,6000,12000,30000,42,165,22,2,0
Белорусская,3000,6000,15000,50,170,38,2,1
Белорусская,8000,16000,48000,55,175,19,1,4000
Белорусская,4000,8000,20000,45,167,28,2,1
Войковская,5000,10000,25000,50,160,28,2,0
Балашиха,3500,4500,7500,50,157,20,3,0
Краснопресненская,15000,30000,100000,63,170,37,3,1
Краснопресненская,12000,25000,-,45,162,22,2,1
Текстильщики,4000,7000,25000,50,166,18,3,0
Киевская,8000,15000,40000,55,167,24,3,0
Дмитровская,7000,14000,35000,52,175,23,2,1
Маяковская,7000,14000,-,43,162,20,2,1
Автозаводская,6000,12000,40000,65,172,34,3,0
Улица 1905 го1,6000,12000,-,50,167,27,3,0
Бабушкинская,3000,6000,15000,58,173,28,2,1000
Площадь Ильича,4000,8000,18000,65,180,30,1,1
Выхино,10000,15000,30000,47,167,20,2,5000
Курская,7000,15000,-,50,170,24,2,5000
Волжская,1500,3000,9000,60,170,31,5,0
Смоленская,10000,20000,50000,50,165,32,2,1
Ленинский проспект,10000,20000,55000,48,167,18,3,1
Марксистская,10000,15000,50000,57,166,20,2,3000
Профсоюзная,10000,17000,50000,57,175,24,2,1
Профсоюзная,6000,12000,30000,53,173,18,2,0
Таганская,7000,12000,25000,53,162,39,4,1
Кузьминки,5000,7000,15000,55,170,25,2,3000
Таганская,15000,25000,50000,75,170,39,4,1
Таганская,5000,10000,25000,50,172,26,1,0
Беговая,6000,10000,25000,n/a,184,31,4,1
Выхино,5000,10000,30000,52,160,23,2,5000
Белорусская,6000,12000,-,60,172,30,5,1
Митино,3000,4000,7500,50,175,24,3,1
Выхино,3000,6000,25000,65,166,23,3,5000
Савеловская,5000,10000,25000,50,165,22,2,0
Белорусская,15000,30000,70000,50,176,22,3,1
Тимирязевская,5000,8000,16000,45,165,19,1,0
Беговая,5000,10000,25000,50,170,28,1,1
Ленинский проспект,10000,20000,55000,53,170,20,3,0
Каховская,5000,10000,25000,59,175,30,2,1
Беговая,3000,5000,12000,55,165,25,3,1000
Царицыно,3500,5000,8000,50,168,23,4,0
Маяковская,8000,16000,-,53,179,23,2,5000
Раменки,7000,12000,35000,56,168,39,3,1
Мытищи,-,8000,30000,52,163,30,3,1
Академическая,5000,10000,25000,49,167,19,3,0
Улица 1905 го1,10000,18000,-,50,168,24,3,0
Добрынинская,6000,12000,30000,58,170,26,3,4000
Сходненская,3000,4500,8000,50,170,19,3,1
Савеловская,5000,10000,25000,50,165,22,2,0
Белорусская,3500,7000,-,57,174,40,2,1000
Мытищи,6000,10000,17000,50,175,25,4,0
Савеловская,3000,6000,15000,50,165,30,2,1
Алтуфьево,7000,14000,30000,50,178,27,2,0
Таганская,8000,15000,45000,52,160,22,3,5000
Жулебино,2000,4000,12000,60,170,36,3,0
Беговая,3000,6000,15000,55,165,23,2,0
Шаболовская,5000,10000,25000,44,154,19,2,1
Королёв,-,8000,15000,52,175,21,2,0
Беговая,15000,30000,70000,50,170,23,2,1
Сходненская,3000,4500,8000,50,165,20,3,1
Таганская,5000,10000,20000,60,167,48,3,1
Ленинский проспект,6000,12000,-,45,160,22,1,0
Дмитровская,5000,8000,16000,55,165,18,3,0
Октябрьское поле,5000,10000,25000,55,172,34,2,1
Беговая,3000,6000,16000,51,158,41,2,1
Люберцы,2000,4000,10000,57,175,23,3,0
Свиблово,2500,5000,10000,62,165,56,3,0
Ленинский проспект,10000,20000,-,50,167,26,3,0
Калужская,4000,8000,20000,58,165,35,3,0
Таганская,4000,8000,16000,52,165,21,2,3000
Царицыно,7000,14000,-,50,170,21,3,1
Октябрьское поле,3000,6000,18000,46,159,24,2,2000
Сокол,3000,6000,16000,49,166,31,2,2000
Нагатинская,8000,15000,-,55,172,27,2,0
Кутузовская,20000,30000,80000,42,165,20,2,1
Мытищи,3000,6000,-,50,168,30,3,0
Медведково,3500,7000,-,52,165,47,2,1
Белорусская,8000,16000,-,53,179,23,2,5000
Университет,3500,10000,-,n/a,172,32,3,0
Парк Победы,7000,14000,42000,50,169,19,2,0
Тульская,6000,12000,-,55,168,24,3,1
Таганская,3500,5500,8000,55,168,22,3,0
Тропарёво,2500,5000,14000,47,158,31,1,1
Бауманская,3000,6000,25000,49,161,24,1,2000
Дубровка,5000,10000,25000,48,163,20,2,0
Алексеевская,4000,8000,15000,51,165,21,2,0
Ленинский проспект,15000,-,-,50,170,26,3,0
Алексеевская,7000,14000,30000,52,167,26,4,0
Кутузовская,10000,20000,57000,n/a,173,23,2,1
Улица 1905 го1,7000,15000,35000,68,167,36,2,1
Ленинский проспект,3000,6000,12000,60,175,36,3,1
Беговая,5000,10000,25000,n/a,167,19,3,1
Теплый стан,4000,-,-,n/a,168,28,3,0
Петровско-Разумовская,3000,5000,-,n/a,175,52,5,0
Кузьминки,2500,-,-,65,172,38,3,0
Каховская,5000,10000,25000,52,157,27,3,0
Улица 1905 го1,6000,12000,-,n/a,167,27,3,0
Речной вокзал,3000,6000,15000,50,170,30,2,1
Одинцово,3000,6000,15000,45,158,27,3,1
Проспект Вернадского,2000,-,-,65,167,50,3,0
Проспект Мира,11000,22000,-,56,171,25,2,5000
Пролетарская,10000,20000,50000,52,170,21,3,0
Парк культуры,10000,-,50000,57,170,30,3,1
Авиамоторная,5000,10000,-,70,175,37,3,0
Алексеевская,4000,8000,18000,n/a,170,31,4,0
Жулебино,5000,10000,30000,60,175,20,3,0
Войковская,2500,5000,10000,85,163,45,4,1500
Мытищи,3000,6000,-,52,166,30,2,0
Октябрьское поле,5000,10000,-,54,167,23,3,0
Беговая,8000,15000,40000,48,165,20,2,1
Кутузовская,5000,10000,25000,70,170,45,6,3000
Улица Ак. Янгеля,2000,4000,-,55,160,28,2,0
Дмитровская,7000,14000,35000,52,175,23,2,1
Славянский бульвар,3000,6000,30000,90,176,36,7,1
Коломенская,6000,12000,30000,59,175,19,2,0
Алтуфьево,3000,6000,18000,48,150,24,2,1
Марьино,4000,7000,-,50,170,37,3,0
Коломенская,5000,10000,30000,69,175,40,3,1
Выхино,4000,8000,15000,53,176,24,3,0
Кунцевская,5000,10000,25000,60,160,39,2,0
Багратионовская,6000,10000,30000,50,170,21,2,1
Одинцово,3000,6000,15000,59,162,35,4,1
Улица 1905 го1,7000,14000,50000,63,170,26,2,3000
Тульская,3500,7000,23000,63,177,35,7,0
Петровско-Разумовская,3000,5000,8000,50,170,19,2,2000
Ленинский проспект,10000,20000,55000,53,170,20,3,0
Водный стадион,10000,20000,-,65,185,35,3,1
Октябрьское поле,3000,6000,18000,55,170,25,2,0
Филевский парк,15000,25000,60000,49,166,24,2,0
Подольск,2000,4000,10000,56,170,26,2,2000
Улица 1905 го1,4000,8000,20000,47,165,25,2,1
Маяковская,5000,10000,25000,50,160,23,2,0
Пролетарская,6000,12000,40000,n/a,170,22,2,1
Варшавская,2500,5000,15000,60,164,35,3,2000
Выставочная,5000,10000,40000,58,174,39,3,3000
Алексеевская,10000,20000,-,50,163,23,3,1
Шаболовская,10000,20000,50000,50,173,19,2,1
Улица 1905 го1,7000,14000,-,47,155,20,2,0
Каширская,2000,4000,9000,67,175,40,3,1
Люблино,1500,3000,9000,44,155,40,1,1
Подольск,3000,6000,15000,47,150,28,2,0
ВДНХ,3000,6000,18000,48,157,20,2,0
Алексеевская,6000,11000,27000,55,165,24,2,3000
Таганская,4000,8000,25000,60,158,33,5,1
Деловой центр,5000,10000,25000,55,172,34,2,1
Молодежная,2000,4000,12000,55,168,42,2,2000
Багратионовская,6000,12000,36000,50,170,22,1,1
Белорусская,6000,12000,30000,51,170,28,2,0
Краснопресненская,7000,14000,35000,52,168,25,2,0
Кунцевская,5000,8000,16000,55,170,26,2,3000
Савеловская,6000,10000,25000,45,160,22,1,1
Новослободская,6000,10000,25000,57,165,25,4,1
