var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
0,2,3,604,"$7,600 ",1,3,611,N,2,A,389,1
0,1,1,97,"$54,900 ",1,5,689,N,6,A,311,1
0,1,0,131,"$67,600 ",1,2,973,N,10,C,27,0
0,0,1,627,"$90,000 ",3,2,813,N,2,C,187,0
0,0,0,363,"$55,700 ",1,2,746,N,6,A,254,1
0,2,1,73,"$18,500 ",3,2,394,N,3,A,606,1
0,1,0,475,"$31,900 ",3,1,501,N,2,A,499,1
0,2,1,555,"$67,000 ",2,5,991,N,1,C,9,0
0,0,0,806,"$31,500 ",3,4,816,N,2,C,184,0
0,1,0,435,"$1,300 ",1,3,465,N,1,A,535,1
0,2,1,847,"$55,800 ",1,3,517,N,1,C,483,0
0,0,0,503,"$29,900 ",0,3,400,N,7,B,600,1
0,3,0,734,"$7,600 ",0,5,982,N,7,C,18,0
0,0,0,703,"$54,200 ",1,3,457,N,19,A,543,1
0,0,1,377,"$96,700 ",4,4,709,,12,A,291,1
0,1,2,813,"$25,000 ",0,3,951,N,11,C,49,0
0,0,2,178,"$20,500 ",1,5,730,,6,A,270,1
0,0,4,64,"$28,900 ",2,3,252,N,9,C,748,0
0,0,0,204,"$55,200 ",1,6,471,N,4,B,529,1
0,0,0,431,"$15,700 ",2,6,820,N,7,B,180,1
0,2,0,183,"$68,400 ",0,1,136,N,13,B,864,1
0,3,0,295,"$33,400 ",1,2,569,N,1,C,431,0
0,0,1,479,"$40,600 ",0,3,62,N,4,A,938,1
0,0,4,344,"$96,900 ",0,3,119,N,5,A,881,1
0,1,0,185,"$94,500 ",2,2,349,N,12,C,651,0
0,0,2,975,"$3,100 ",1,2,570,N,8,A,430,1
0,1,0,5,"$29,400 ",2,3,417,N,13,A,583,1
0,1,1,850,"$24,700 ",1,2,29,N,11,A,971,1
0,0,1,394,"$15,600 ",1,4,722,Y,9,A,278,1
0,0,0,225,"$32,800 ",2,6,756,N,9,A,244,1
0,2,0,166,"$20,500 ",1,1,881,N,1,B,119,1
0,1,4,258,"$22,600 ",1,2,702,,1,B,298,1
0,1,0,654,"$68,000 ",1,2,172,N,2,B,828,1
0,1,1,236,"$93,300 ",1,4,479,N,8,B,521,1
0,1,0,981,"$49,200 ",2,0,814,N,5,C,186,0
0,3,0,770,"$63,800 ",2,3,25,N,4,A,975,1
0,2,3,441,"$60,500 ",0,3,501,N,15,B,499,1
0,0,1,328,"$5,700 ",1,2,95,N,3,B,905,1
0,0,1,483,"$27,700 ",1,2,958,N,2,A,42,1
0,0,3,596,"$98,500 ",3,3,753,N,2,A,247,1
0,0,1,821,"$5,100 ",0,2,521,N,2,B,479,1
0,0,0,537,"$61,200 ",1,3,709,Y,12,C,291,0
0,1,3,724,"$76,700 ",0,1,963,N,6,B,37,1
0,3,2,838,"$82,400 ",1,2,506,N,8,A,494,1
1,1,0,828,"$15,500 ",1,1,104,Y,2,A,896,1
0,2,1,914,"$13,300 ",0,0,312,N,5,A,688,1
0,1,0,745,"$28,800 ",1,2,313,N,2,A,687,1
0,2,3,335,"$5,600 ",0,5,388,N,23,B,612,1
0,1,1,423,"$11,900 ",2,3,421,N,6,C,579,0
0,1,3,309,"$43,200 ",0,2,29,N,5,A,971,1
0,2,2,415,"$11,400 ",3,5,334,N,8,B,666,1
0,2,1,756,"$63,700 ",1,1,488,N,10,A,512,1
0,0,3,842,"$41,600 ",1,7,709,Y,16,B,291,1
0,3,2,304,"$25,800 ",0,6,305,N,2,A,695,1
0,4,0,822,"$59,700 ",1,3,748,N,6,C,252,0
0,1,1,474,"$59,900 ",0,3,911,N,15,C,89,0
0,1,1,257,"$4,300 ",2,2,711,N,19,B,289,1
0,0,3,585,"$29,800 ",0,2,646,N,6,A,354,1
0,3,1,403,"$59,800 ",2,2,973,N,1,C,27,0
0,2,1,964,"$6,400 ",0,2,199,N,10,B,801,1
0,0,1,898,"$22,800 ",1,2,419,N,10,C,581,0
0,1,2,361,"$34,700 ",1,6,596,Y,6,A,404,1
0,0,1,49,"$24,600 ",1,3,315,N,1,C,685,0
0,1,1,404,"$47,400 ",0,5,886,N,10,A,114,1
0,2,0,672,"$81,200 ",0,1,855,N,4,B,145,1
0,2,4,256,"$44,000 ",1,1,808,N,3,A,192,1
0,1,2,620,"$22,900 ",0,3,126,N,3,B,874,1
0,1,1,893,"$5,400 ",2,3,104,N,2,C,896,0
0,2,0,707,"$91,000 ",3,3,872,N,23,B,128,1
0,0,1,654,"$91,300 ",1,2,984,N,7,B,16,1
0,2,2,208,"$7,700 ",0,5,929,N,8,A,71,1
0,0,3,39,"$98,000 ",2,5,411,N,4,A,589,1
0,1,1,974,"$34,500 ",0,6,233,N,1,C,767,0
0,1,0,118,"$18,000 ",1,5,894,N,1,A,106,1
0,0,2,46,"$58,900 ",1,2,438,N,3,C,562,0
0,0,2,288,"$62,700 ",0,2,425,N,2,B,575,1
0,1,0,26,"$56,700 ",1,2,241,N,7,A,759,1
0,3,0,819,"$75,900 ",1,1,443,,9,B,557,1
0,1,1,61,"$13,900 ",1,6,289,,3,A,711,1
1,1,1,983,"$45,500 ",0,4,715,N,3,C,285,0
0,0,0,301,"$13,900 ",1,4,795,N,12,C,205,0
0,2,0,235,"$4,200 ",0,2,592,N,4,C,408,0
0,2,1,148,"$2,100 ",0,2,160,N,15,B,840,1
0,0,0,716,"$94,300 ",1,3,624,N,13,A,376,1
0,1,1,436,"$43,700 ",3,2,590,N,3,B,410,1
0,0,0,935,"$39,200 ",1,2,320,N,10,C,680,0
0,3,3,811,"$56,500 ",1,4,498,N,1,B,502,1
0,0,2,113,"$13,700 ",0,1,190,N,7,B,810,1
0,1,4,480,"$85,900 ",1,0,847,N,9,B,153,1
0,1,2,848,"$95,500 ",2,5,735,N,7,C,265,0
0,0,1,494,"$65,200 ",1,3,738,N,7,C,262,0
0,1,0,718,"$99,200 ",0,7,250,N,2,C,750,0
0,1,0,927,"$95,400 ",0,3,675,Y,18,A,325,1
0,2,0,801,"$41,200 ",1,3,957,N,4,A,43,1
0,1,2,927,"$78,200 ",1,5,908,N,4,A,92,1
0,1,0,595,"$83,500 ",2,6,510,N,2,A,490,1
0,0,0,187,"$25,600 ",3,4,110,N,33,B,890,1
0,2,1,308,"$7,000 ",0,3,749,N,3,C,251,0
0,3,1,689,"$88,700 ",2,6,736,N,3,C,264,0
0,3,3,207,"$80,000 ",0,3,585,,1,A,415,1
0,0,2,347,"$96,800 ",0,4,362,Y,8,A,638,1
0,1,1,461,"$97,500 ",1,7,943,N,18,B,57,1
0,1,0,52,"$58,700 ",0,8,727,N,4,A,273,1
0,0,0,673,"$37,300 ",2,2,108,N,9,C,892,0
0,0,0,984,"$29,600 ",2,1,184,N,5,B,816,1
0,1,0,13,"$38,900 ",0,1,882,N,2,A,118,1
0,2,1,178,"$97,700 ",2,2,692,N,12,C,308,0
0,2,0,18,"$19,000 ",1,4,341,N,4,C,659,0
0,1,0,624,"$60,700 ",2,0,411,N,1,A,589,1
0,0,3,884,"$1,100 ",1,0,333,N,2,A,667,1
0,2,1,21,"$95,200 ",1,1,718,N,17,A,282,1
0,1,2,810,"$37,900 ",1,3,990,N,23,A,10,1
1,2,4,817,"$57,700 ",1,1,964,N,7,A,36,1
0,1,3,59,"$24,800 ",1,4,34,N,4,B,966,1
0,1,0,818,"$20,200 ",1,3,182,N,3,B,818,1
0,2,1,910,"$53,600 ",2,1,838,Y,3,A,162,1
0,0,2,275,"$58,300 ",1,3,205,N,5,B,795,1
0,1,1,577,"$96,100 ",0,2,787,N,6,C,213,0
0,4,1,354,"$90,700 ",4,4,801,N,11,B,199,1
0,1,0,609,"$98,300 ",2,5,829,N,22,C,171,0
0,0,1,272,"$9,200 ",2,3,28,N,4,A,972,1
0,0,2,502,"$63,700 ",0,3,227,N,14,C,773,0
0,2,2,884,"$63,600 ",0,4,356,N,5,A,644,1
0,0,0,841,"$15,600 ",0,3,275,N,4,A,725,1
0,2,3,386,"$98,800 ",1,6,337,N,1,B,663,1
0,2,0,915,"$57,000 ",0,0,938,Y,4,B,62,1
0,1,0,277,"$19,200 ",3,4,960,N,1,B,40,1
0,1,1,737,"$18,300 ",0,5,972,N,11,B,28,1
0,2,1,738,"$21,200 ",1,1,572,N,22,B,428,1
0,2,0,993,"$36,500 ",1,1,400,N,5,A,600,1
0,3,1,556,"$22,900 ",0,0,671,N,2,C,329,0
0,2,3,706,"$76,200 ",0,3,759,N,7,B,241,1
0,1,0,244,"$36,100 ",1,1,521,N,1,A,479,1
0,0,1,822,"$50,200 ",2,1,84,N,20,B,916,1
0,1,2,390,"$77,900 ",2,4,513,N,5,A,487,1
0,1,1,824,"$30,000 ",1,4,577,N,1,C,423,0
0,1,0,826,"$33,200 ",3,3,534,N,1,C,466,0
0,1,0,545,"$66,100 ",0,4,706,N,9,A,294,1
0,1,0,629,"$95,800 ",2,4,49,N,4,A,951,1
0,0,1,60,"$58,900 ",3,4,819,N,5,B,181,1
0,0,1,371,"$21,000 ",0,2,986,N,12,A,14,1
0,1,2,930,"$50,400 ",2,5,100,N,2,A,900,1
0,1,1,712,"$70,700 ",0,4,858,Y,2,C,142,0
1,1,4,650,"$31,400 ",0,4,196,N,2,B,804,1
0,0,3,552,"$5,100 ",1,7,134,N,3,B,866,1
0,0,0,923,"$80,600 ",2,3,767,Y,12,B,233,1
0,0,3,684,"$54,500 ",0,0,260,Y,2,C,740,0
0,1,0,405,"$50,700 ",0,3,642,N,13,C,358,0
0,2,1,657,"$84,300 ",0,3,542,N,8,C,458,0
0,0,0,383,"$40,200 ",1,3,349,N,12,A,651,1
0,1,0,214,"$13,100 ",0,0,917,N,6,A,83,1
0,1,4,235,"$11,800 ",1,4,241,N,18,C,759,0
0,1,3,160,"$72,200 ",2,1,77,Y,14,B,923,1
0,1,1,798,"$50,000 ",0,1,192,,2,B,808,1
0,0,1,699,"$7,800 ",1,4,127,N,2,B,873,1
0,0,3,346,"$73,000 ",1,1,985,N,4,B,15,1
0,1,0,16,"$6,100 ",2,6,204,N,3,A,796,1
0,1,0,101,"$10,700 ",0,2,599,N,1,A,401,1
0,1,1,971,"$87,800 ",1,3,895,N,2,B,105,1
0,0,1,434,"$79,500 ",1,3,319,N,1,B,681,1
0,1,1,570,"$49,000 ",0,2,196,N,3,B,804,1
0,0,0,925,"$25,100 ",0,3,285,N,1,B,715,1
0,0,0,819,"$1,700 ",1,2,417,N,4,B,583,1
0,3,0,169,"$37,900 ",2,5,809,N,11,C,191,0
0,0,3,239,"$99,800 ",1,2,188,N,16,A,812,1
0,1,0,897,"$59,500 ",0,0,409,Y,1,C,591,0
0,2,1,536,"$60,300 ",5,1,211,,2,A,789,1
0,1,0,290,"$45,300 ",4,3,985,N,6,A,15,1
0,1,1,864,"$73,200 ",2,3,898,N,6,A,102,1
0,1,1,478,"$94,400 ",1,2,14,N,2,B,986,1
0,0,0,472,"$30,700 ",1,4,929,N,32,A,71,1
0,1,0,104,"$82,400 ",1,2,577,N,8,A,423,1
0,2,1,606,"$44,600 ",1,1,785,N,18,C,215,0
0,1,1,792,"$67,000 ",2,3,277,N,5,A,723,1
0,1,1,704,"$71,900 ",2,2,195,N,8,B,805,1
0,1,2,821,"$91,700 ",0,5,697,N,3,C,303,0
0,0,2,460,"$52,800 ",0,4,874,N,9,A,126,1
0,2,1,970,"$31,500 ",6,2,661,N,6,B,339,1
0,1,0,527,"$78,300 ",1,2,917,,2,A,83,1
0,0,1,536,"$42,500 ",0,3,677,N,11,A,323,1
0,1,1,903,"$22,900 ",1,6,442,N,4,B,558,1
0,0,1,480,"$90,200 ",0,4,534,N,3,A,466,1
0,1,0,475,"$85,800 ",1,10,15,N,11,C,985,0
0,0,1,808,"$72,900 ",3,2,348,N,4,C,652,0
0,0,0,189,"$54,800 ",2,5,637,N,1,C,363,0
0,4,1,920,"$14,400 ",2,2,962,N,3,A,38,1
0,0,3,844,"$11,800 ",2,3,571,N,7,C,429,0
0,0,2,25,"$42,400 ",2,6,525,N,15,B,475,1
0,0,1,468,"$68,600 ",1,4,848,N,3,B,152,1
0,1,0,838,"$89,300 ",2,3,559,N,13,C,441,0
0,1,1,33,"$1,400 ",0,3,931,N,9,C,69,0
0,0,1,682,"$42,800 ",1,2,341,N,11,B,659,1
0,0,0,235,"$39,900 ",0,4,845,N,4,C,155,0
0,2,0,262,"$11,400 ",3,1,294,N,3,C,706,0
0,1,0,300,"$7,900 ",4,3,329,N,10,A,671,1
0,0,3,847,"$51,000 ",1,4,456,N,13,C,544,0
0,3,0,314,"$91,500 ",3,4,779,N,6,C,221,0
0,2,0,556,"$89,700 ",0,4,72,N,15,C,928,0
0,2,0,97,"$70,700 ",1,3,389,N,21,A,611,1
0,1,0,284,"$8,500 ",0,1,731,N,8,B,269,1
0,1,2,648,"$58,300 ",1,4,697,N,1,A,303,1
0,1,0,21,"$35,500 ",1,4,886,N,15,A,114,1
0,2,2,387,"$30,600 ",0,4,865,N,3,B,135,1
0,2,1,46,"$81,000 ",0,3,765,N,24,A,235,1
0,3,2,18,"$67,100 ",1,3,466,N,2,C,534,0
0,1,1,90,"$36,900 ",1,3,441,N,1,B,559,1
0,1,2,280,"$44,300 ",2,2,669,Y,1,A,331,1
0,4,1,280,"$93,500 ",3,5,136,N,10,A,864,1
0,1,1,121,"$96,800 ",1,3,623,N,2,C,377,0
0,0,0,72,"$32,900 ",2,1,383,N,7,A,617,1
0,2,0,99,"$27,000 ",0,2,599,N,5,A,401,1
0,0,0,940,"$89,700 ",0,2,442,N,3,A,558,1
0,0,1,978,"$23,800 ",1,3,546,Y,11,C,454,0
0,1,1,541,"$1,800 ",0,2,460,N,8,B,540,1
0,1,0,307,"$14,100 ",0,9,87,N,1,B,913,1
0,0,0,816,"$29,900 ",1,1,793,N,3,C,207,0
0,2,0,232,"$52,500 ",0,2,174,N,13,A,826,1
0,0,2,856,"$5,400 ",0,3,600,N,1,A,400,1
0,1,1,18,"$78,400 ",3,2,452,N,1,C,548,0
1,2,0,558,"$33,000 ",1,1,274,N,2,B,726,1
0,0,1,241,"$28,200 ",0,7,840,N,3,C,160,0
0,1,1,560,"$18,200 ",1,4,779,,1,C,221,0
0,0,1,630,"$28,500 ",1,3,577,N,4,A,423,1
0,0,1,74,"$89,600 ",0,3,393,N,1,A,607,1
0,1,0,550,"$94,000 ",1,2,519,N,7,C,481,0
0,1,0,184,"$62,100 ",1,2,482,N,9,C,518,0
0,2,1,736,"$1,500 ",0,3,6,N,9,C,994,0
0,1,0,615,"$31,600 ",1,5,851,N,5,B,149,1
0,1,0,633,"$60,300 ",1,4,27,N,4,B,973,1
0,3,0,452,"$32,400 ",0,3,338,N,6,A,662,1
0,0,0,782,"$70,800 ",2,3,633,N,10,B,367,1
0,0,1,20,"$90,200 ",1,2,951,N,6,C,49,0
0,1,1,577,"$44,900 ",2,3,508,N,6,C,492,0
0,2,1,375,"$47,200 ",1,3,630,N,2,A,370,1
1,0,4,88,"$76,200 ",2,5,458,N,4,A,542,1
0,0,0,26,"$33,600 ",2,2,143,Y,1,A,857,1
0,4,0,480,"$94,000 ",1,2,209,Y,2,C,791,0
0,0,0,438,"$57,700 ",1,5,572,N,9,A,428,1
0,0,2,237,"$94,800 ",0,1,574,N,7,B,426,1
0,2,2,449,"$69,400 ",1,6,497,N,9,B,503,1
0,1,2,183,"$92,300 ",1,4,682,N,4,C,318,0
0,1,1,210,"$34,000 ",2,1,819,N,6,B,181,1
0,0,1,460,"$39,600 ",1,5,266,N,5,C,734,0
0,0,0,413,"$59,600 ",0,2,165,N,9,A,835,1
0,1,1,185,"$74,300 ",0,3,97,N,1,A,903,1
0,2,0,251,"$5,500 ",1,2,545,N,8,A,455,1
0,1,0,96,"$5,000 ",0,3,909,N,6,C,91,0
0,3,0,294,"$26,400 ",1,0,611,N,5,A,389,1
0,5,3,346,"$70,500 ",0,4,279,,11,B,721,1
0,1,0,359,"$6,100 ",1,2,551,N,6,C,449,0
0,0,1,121,"$50,400 ",2,5,526,N,6,B,474,1
0,0,0,233,"$90,200 ",0,5,408,N,1,B,592,1
0,0,0,554,"$36,300 ",0,2,278,N,3,B,722,1
0,2,1,919,"$98,600 ",0,2,311,N,2,C,689,0
0,2,1,285,"$70,800 ",2,4,17,Y,2,C,983,0
0,1,2,344,"$69,500 ",4,3,972,N,4,A,28,1
0,3,3,283,"$96,100 ",1,3,422,N,2,B,578,1
0,0,0,123,"$55,100 ",1,3,91,Y,1,C,909,0
0,2,0,609,"$44,300 ",5,3,544,,4,C,456,0
0,1,1,129,"$33,400 ",1,2,899,N,9,B,101,1
0,1,1,444,"$33,600 ",2,5,842,N,16,A,158,1
0,0,1,903,"$67,600 ",0,2,990,N,5,B,10,1
0,2,0,181,"$73,300 ",1,7,100,Y,2,A,900,1
0,1,2,5,"$39,400 ",0,0,0,N,4,C,1000,0
0,0,1,38,"$62,300 ",1,3,765,N,2,A,235,1
0,1,2,658,"$14,000 ",2,1,520,N,2,B,480,1
0,0,2,642,"$49,700 ",2,1,373,N,3,C,627,0
0,0,0,467,"$30,500 ",0,1,215,N,1,B,785,1
0,0,0,516,"$41,100 ",1,4,13,N,1,C,987,0
0,4,1,724,"$7,600 ",4,3,627,N,1,B,373,1
0,0,1,538,"$5,500 ",0,7,738,N,7,A,262,1
0,0,3,577,"$8,600 ",1,2,861,N,9,C,139,0
0,0,3,435,"$53,200 ",2,2,398,N,2,C,602,0
0,1,0,895,"$56,600 ",1,2,298,N,9,C,702,0
0,2,0,587,"$73,000 ",1,3,72,N,2,C,928,0
0,3,0,774,"$27,400 ",0,4,958,,2,B,42,1
0,2,1,670,"$41,700 ",1,1,748,N,8,B,252,1
0,0,1,389,"$86,900 ",2,3,89,N,3,B,911,1
0,1,2,55,"$79,200 ",1,5,763,N,1,B,237,1
0,1,0,292,"$76,900 ",0,3,552,N,1,C,448,0
0,0,0,226,"$61,100 ",0,2,717,Y,6,C,283,0
0,0,1,813,"$98,500 ",2,2,700,N,3,A,300,1
0,2,0,591,"$66,200 ",1,3,365,Y,3,C,635,0
0,1,2,889,"$38,800 ",0,1,972,Y,2,A,28,1
0,0,1,586,"$33,700 ",2,2,481,N,8,C,519,0
0,0,1,148,"$8,600 ",0,7,444,,3,C,556,0
0,1,3,667,"$70,600 ",2,5,470,Y,21,C,530,0
0,1,1,653,"$26,100 ",3,3,80,N,5,B,920,1
0,0,2,34,"$92,100 ",0,2,630,N,9,B,370,1
0,3,4,254,"$49,000 ",1,0,515,N,3,C,485,0
0,0,0,204,"$35,900 ",2,0,591,N,5,C,409,0
0,2,0,623,"$95,400 ",1,2,83,N,2,C,917,0
0,0,3,886,"$90,600 ",1,3,376,,20,B,624,1
1,2,3,861,"$44,500 ",4,0,567,N,1,C,433,0
0,1,1,788,"$20,200 ",2,3,294,N,2,A,706,1
0,3,0,828,"$83,900 ",1,5,662,Y,5,B,338,1
0,0,0,391,"$3,900 ",2,8,457,N,23,C,543,0
0,2,0,408,"$97,300 ",1,2,795,N,7,C,205,0
0,1,1,433,"$32,500 ",0,4,400,N,22,B,600,1
0,3,1,816,"$82,300 ",2,8,338,N,4,C,662,0
0,2,2,275,"$61,400 ",1,5,270,N,14,A,730,1
0,0,3,538,"$78,500 ",1,2,854,N,2,C,146,0
0,1,3,683,"$66,500 ",3,2,608,Y,3,C,392,0
0,2,0,996,"$45,900 ",0,6,967,N,1,B,33,1
0,1,1,214,"$21,000 ",1,2,202,N,4,B,798,1
1,0,3,897,"$6,300 ",1,4,750,N,1,C,250,0
0,1,1,978,"$67,900 ",0,4,375,N,16,A,625,1
0,1,0,709,"$91,100 ",0,4,142,Y,5,A,858,1
0,0,1,778,"$69,300 ",1,3,425,N,8,B,575,1
0,2,1,474,"$64,800 ",1,4,729,N,7,C,271,0
0,2,1,990,"$34,800 ",0,3,809,N,12,B,191,1
0,0,1,197,"$35,200 ",1,3,976,N,4,C,24,0
0,1,2,465,"$11,000 ",2,2,369,N,17,A,631,1
0,2,1,834,"$74,600 ",0,5,948,N,4,A,52,1
0,1,0,136,"$77,300 ",1,1,305,Y,8,C,695,0
0,0,0,414,"$19,700 ",1,1,998,Y,30,C,2,0
0,1,0,446,"$81,000 ",2,5,848,,1,A,152,1
0,1,0,47,"$84,400 ",2,1,144,N,4,A,856,1
0,1,1,204,"$72,100 ",1,5,188,N,10,C,812,0
0,1,0,737,"$36,800 ",0,4,664,N,4,B,336,1
0,2,0,390,"$72,500 ",1,3,992,N,14,C,8,0
0,0,1,163,"$23,100 ",0,5,681,N,3,B,319,1
0,1,1,790,"$65,200 ",0,4,443,Y,3,B,557,1
0,1,2,179,"$42,500 ",1,4,886,N,1,B,114,1
0,1,2,581,"$95,000 ",1,4,646,N,6,B,354,1
0,0,0,497,"$60,700 ",2,2,893,N,6,C,107,0
0,0,2,780,"$35,000 ",0,8,222,N,5,B,778,1
0,0,0,854,"$10,400 ",0,1,763,N,2,C,237,0
0,1,1,295,"$89,100 ",0,2,934,N,1,C,66,0
0,0,2,673,"$89,500 ",3,2,261,N,1,C,739,0
0,1,0,273,"$20,300 ",1,5,596,,4,C,404,0
0,1,2,315,"$78,700 ",2,3,67,N,3,B,933,1
0,1,0,511,"$59,600 ",0,1,435,N,14,B,565,1
0,2,0,279,"$58,100 ",0,2,905,N,1,A,95,1
0,1,0,278,"$78,300 ",1,1,612,N,9,C,388,0
0,1,3,275,"$93,600 ",2,1,791,N,19,C,209,0
0,4,1,890,"$41,600 ",0,3,480,N,5,A,520,1
0,0,1,164,"$20,100 ",0,2,241,N,14,C,759,0
0,3,3,624,"$74,900 ",0,2,804,N,10,A,196,1
0,1,1,422,"$83,600 ",1,3,632,N,3,A,368,1
0,2,2,53,"$92,200 ",0,2,240,N,24,C,760,0
0,1,1,414,"$41,700 ",1,2,659,N,3,C,341,0
0,1,0,461,"$51,500 ",1,3,532,N,1,B,468,1
0,0,2,281,"$91,400 ",3,2,302,N,2,B,698,1
1,1,3,411,"$98,400 ",2,4,147,N,2,C,853,0
0,2,0,123,"$24,100 ",1,1,151,N,4,A,849,1
0,2,2,147,"$79,500 ",0,1,924,N,1,A,76,1
0,2,1,879,"$62,100 ",2,5,193,N,3,B,807,1
0,1,2,104,"$17,700 ",0,3,364,Y,5,A,636,1
0,2,2,659,"$48,100 ",0,2,217,,25,B,783,1
0,0,0,128,"$61,300 ",0,3,573,N,14,A,427,1
0,1,0,714,"$7,000 ",2,3,623,N,14,C,377,0
0,1,1,882,"$89,700 ",2,1,808,N,5,A,192,1
0,1,0,655,"$19,300 ",1,3,864,N,15,A,136,1
0,0,0,168,"$2,700 ",0,1,177,,3,A,823,1
0,0,0,482,"$85,900 ",2,5,185,N,2,C,815,0
0,1,1,53,"$68,800 ",1,4,384,N,2,C,616,0
0,1,2,771,"$28,800 ",0,1,606,N,2,B,394,1
0,1,0,118,"$83,900 ",1,6,763,N,1,B,237,1
0,0,4,285,"$62,500 ",1,2,599,N,2,A,401,1
0,1,1,20,"$98,300 ",1,3,387,N,1,B,613,1
0,0,1,283,"$44,000 ",0,3,354,N,7,B,646,1
0,1,2,584,"$93,600 ",1,7,946,N,1,A,54,1
0,1,0,791,"$30,100 ",2,4,535,,3,B,465,1
0,3,1,278,"$65,100 ",0,1,474,,6,A,526,1
0,0,0,934,"$28,500 ",0,5,752,N,17,B,248,1
0,0,0,67,"$61,600 ",0,1,319,N,6,A,681,1
0,1,1,224,"$17,700 ",0,5,94,N,4,C,906,0
0,0,0,324,"$53,900 ",0,3,390,N,13,A,610,1
0,1,0,886,"$62,000 ",1,3,388,N,11,B,612,1
0,0,1,991,"$52,400 ",2,2,588,Y,31,B,412,1
0,0,3,360,"$86,800 ",2,3,787,,3,C,213,0
1,1,1,315,"$24,400 ",1,4,542,N,5,C,458,0
0,1,1,429,"$54,700 ",0,2,550,N,2,A,450,1
0,1,1,740,"$57,500 ",1,7,519,N,10,A,481,1
0,0,0,677,"$23,600 ",1,2,703,N,8,B,297,1
0,0,3,389,"$51,600 ",0,2,594,N,5,C,406,0
0,1,2,131,"$86,300 ",0,4,124,N,1,A,876,1
0,1,2,721,"$17,600 ",4,5,452,Y,8,C,548,0
